Ward,Precinct,Votes For,Percentage For,Votes Against,Percentage Against,Total Votes
FINDLAY 1,FINDLAY 1A,64,67.37%,31,32.63%,95
FINDLAY 1,FINDLAY 1B,145,67.13%,71,32.87%,216
FINDLAY 1,FINDLAY 1C,44,51.76%,41,48.24%,85
FINDLAY 1,FINDLAY 1D,204,59.65%,138,40.35%,342
FINDLAY 2,FINDLAY 2A,16,61.54%,10,38.46%,26
FINDLAY 2,FINDLAY 2B,83,69.17%,37,30.83%,120
FINDLAY 2,FINDLAY 2C,158,72.48%,60,27.52%,218
FINDLAY 2,FINDLAY 2D,263,71.47%,105,28.53%,368
FINDLAY 2,FINDLAY 2E,330,76.57%,101,23.43%,431
FINDLAY 3,FINDLAY 3A,305,72.62%,115,27.38%,420
FINDLAY 3,FINDLAY 3B,136,56.20%,106,43.80%,242
FINDLAY 3,FINDLAY 3C,300,75.38%,98,24.62%,398
FINDLAY 3,FINDLAY 3D,80,61.07%,51,38.93%,131
FINDLAY 4,FINDLAY 4A,45,42.06%,62,57.94%,107
FINDLAY 4,FINDLAY 4B,58,55.24%,47,44.76%,105
FINDLAY 4,FINDLAY 4C,99,69.92%,42,30.08%,141
FINDLAY 4,FINDLAY 4D,247,78.41%,68,21.59%,315
FINDLAY 4,FINDLAY 4E,103,60.95%,66,39.05%,169
FINDLAY 5,FINDLAY 5A,265,74.23%,92,25.77%,357
FINDLAY 5,FINDLAY 5B,226,77.40%,66,22.60%,292
FINDLAY 5,FINDLAY 5C,156,61.42%,98,38.58%,254
FINDLAY 5,FINDLAY 5D,299,69.86%,129,30.14%,428
FINDLAY 5,FINDLAY 5E,58,47.54%,64,52.46%,122
FINDLAY 6,FINDLAY 6A,32,48.48%,34,51.52%,66
FINDLAY 6,FINDLAY 6B,49,52.69%,44,47.31%,93
FINDLAY 6,FINDLAY 6C,110,63.58%,63,36.42%,173
FINDLAY 6,FINDLAY 6D,60,60.61%,39,39.39%,99
FINDLAY 7,FINDLAY 7A,135,64.90%,73,35.10%,208
FINDLAY 7,FINDLAY 7B,111,60.66%,72,39.34%,183
