precinct,for,against,total,,,
FINDLAY 1A,183,225,408,,,
FINDLAY 1B,279,342,621,,,
FINDLAY 1C,212,286,498,,,
FINDLAY 1D,375,422,797,,,
FINDLAY 2A,46,60,106,,,
FINDLAY 2B,164,211,375,,,
FINDLAY 2C,296,185,481,,,
FINDLAY 2D,340,266,606,,,
FINDLAY 2E,420,359,779,,,
FINDLAY 3A,455,373,828,,,
FINDLAY 3B,262,388,650,,,
FINDLAY 3C,471,418,889,,,
FINDLAY 3D,198,280,478,,,
FINDLAY 4A,162,273,435,,,
FINDLAY 4B,146,253,399,,,
FINDLAY 4C,186,173,359,,,
FINDLAY 4D,364,258,622,,,
FINDLAY 4E,187,262,449,,,
FINDLAY 5A,388,336,724,,,
FINDLAY 5B,336,236,572,,,
FINDLAY 5C,285,393,678,,,
FINDLAY 5D,392,325,717,,,
FINDLAY 5E,152,236,388,,,
FINDLAY 6A,95,204,299,,,
FINDLAY 6B,142,201,343,,,
FINDLAY 6C,195,271,466,,,
FINDLAY 6D,171,214,385,,,
FINDLAY 7A,219,233,452,,,
FINDLAY 7B,233,275,508,,,
FINDLAY 7C,261,317,578,,,
FINDLAY 7D,193,253,446,,,
FINDLAY 7E,136,190,326,,,
LIBERTY NE,215,252,467,,,
LIBERTY SE,52,40,92,,,
MARION N,14,28,42,,,
MARION S,541,571,1112,,,
